0.5219,(1, 1)
0.5253,(5, 2)
0.5345,(1, 0)
0.5362,(5, 3)
0.5557,(9, 3)
0.5567,(1, 2)
0.5573,(6, 0)
0.5673,(2, 2)
0.5686,(5, 0)
0.5702,(7, 0)
0.572,(10, 1)
0.5757,(5, 1)
0.5807,(1, 3)
0.5833,(2, 1)
0.5833,(8, 3)
0.5869,(8, 2)
0.5894,(10, 3)
0.6018,(6, 2)
0.6021,(6, 1)
0.6115,(10, 0)
0.6166,(11, 2)
0.6221,(7, 1)
0.6313,(10, 2)
0.6318,(12, 3)
0.6359,(7, 2)
0.6396,(9, 0)
0.6424,(11, 1)
0.6428,(6, 3)
0.6449,(3, 1)
0.6464,(2, 3)
0.6552,(9, 1)
0.6599,(12, 1)
0.6731,(11, 3)
0.6735,(3, 2)
0.6794,(12, 2)
0.6974,(9, 2)
0.7048,(0, 3)
0.7198,(3, 0)
0.7456,(2, 0)
0.7527,(4, 3)
0.7624,(7, 3)
0.7844,(12, 0)
0.8351,(11, 0)
0.8986,(8, 0)
0.9348,(8, 1)
