1.0,(0, 0)
0.9925,(3, 3)
0.9922,(4, 2)
0.9887,(4, 1)
0.9897,(4, 0)
0.9784,(0, 2)
0.99,(0, 1)
0.9348,(8, 1)
0.9656,(8, 0)
0.8813,(4, 3)
0.9458,(9, 2)
1.0013,(12, 2)
0.967,(7, 2)
0.9971,(9, 1)
1.0004,(11, 2)
0.9961,(7, 1)
0.9981,(10, 2)
0.9962,(9, 0)
0.9994,(6, 3)
0.9928,(10, 0)
0.984,(8, 2)
1.0002,(6, 1)
0.9979,(2, 2)
0.9977,(11, 3)
0.9939,(11, 1)
0.9899,(12, 1)
0.9868,(3, 1)
0.9586,(7, 0)
1.0035,(5, 0)
0.9455,(1, 0)
0.9881,(5, 2)
0.9943,(12, 3)
0.8922,(1, 1)
0.9623,(6, 2)
1.0,(10, 3)
0.9957,(5, 1)
1.0089,(1, 3)
1.0093,(8, 3)
0.9709,(10, 1)
0.9955,(2, 3)
0.9898,(7, 3)
0.915,(3, 2)
0.9427,(3, 0)
0.9897,(11, 0)
0.9617,(12, 0)
0.9684,(2, 0)
0.8551,(2, 1)
0.8495,(1, 2)
0.9876,(6, 0)
1.0016,(9, 3)
0.9824,(5, 3)
0.9588,(0, 3)
