0.7272,(2, 0)
0.7692,(12, 0)
0.8107,(0, 3)
0.8163,(2, 1)
0.8165,(11, 0)
0.8256,(3, 0)
0.8459,(7, 3)
0.8512,(5, 3)
0.8521,(12, 3)
0.8561,(1, 1)
0.8651,(5, 2)
0.8698,(9, 3)
0.8732,(3, 2)
0.874,(6, 0)
0.8777,(1, 0)
0.8813,(2, 3)
0.8825,(3, 1)
0.8847,(1, 2)
0.894,(10, 1)
0.8988,(12, 1)
0.9032,(11, 1)
0.9079,(2, 2)
0.9115,(5, 1)
0.9147,(11, 3)
0.9177,(6, 1)
0.9182,(1, 3)
0.9196,(10, 3)
0.9243,(8, 3)
0.9249,(6, 2)
0.9283,(7, 0)
0.9322,(5, 0)
0.9344,(8, 2)
0.9536,(10, 0)
0.9696,(6, 3)
0.9725,(9, 0)
0.9827,(10, 2)
0.985,(7, 1)
0.9913,(11, 2)
0.9971,(9, 1)
