0.7189,(2, 0)
0.7592,(12, 0)
0.8065,(11, 0)
0.8068,(2, 1)
0.816,(0, 3)
0.8195,(3, 0)
0.8458,(7, 3)
0.8591,(5, 3)
0.8595,(1, 1)
0.8603,(12, 3)
0.8673,(3, 1)
0.8688,(5, 2)
0.8697,(3, 2)
0.8738,(2, 3)
0.8792,(6, 0)
0.8795,(9, 3)
0.8812,(1, 0)
0.8851,(12, 1)
0.8921,(1, 2)
0.8927,(11, 1)
0.904,(10, 1)
0.9093,(11, 3)
0.9148,(2, 2)
0.92,(5, 1)
0.9205,(6, 1)
0.9236,(1, 3)
0.9294,(6, 2)
0.9298,(10, 3)
0.9319,(8, 3)
0.9329,(7, 0)
0.9358,(5, 0)
0.9478,(8, 2)
0.9636,(10, 0)
0.975,(6, 3)
0.9755,(9, 0)
0.993,(10, 2)
0.996,(7, 1)
1.0004,(11, 2)
