0.627,(2, 0)
0.67,(12, 0)
0.7037,(11, 0)
0.7103,(2, 1)
0.723,(3, 0)
0.7368,(12, 3)
0.7539,(1, 1)
0.7543,(7, 3)
0.7553,(5, 3)
0.7633,(5, 2)
0.7696,(9, 3)
0.7734,(3, 2)
0.7735,(1, 0)
0.7757,(2, 3)
0.7777,(6, 0)
0.7837,(1, 2)
0.7837,(12, 1)
0.7864,(11, 1)
0.791,(10, 1)
0.792,(3, 1)
0.8033,(2, 2)
0.8088,(5, 1)
0.8123,(7, 0)
0.8136,(10, 3)
0.8162,(11, 3)
0.8175,(8, 2)
0.8186,(1, 3)
0.8189,(8, 3)
0.8234,(5, 0)
0.826,(6, 1)
0.8298,(6, 2)
0.8453,(10, 0)
0.8699,(7, 1)
0.8712,(10, 2)
0.8745,(11, 2)
0.8756,(6, 3)
0.8762,(9, 0)
0.8912,(7, 2)
0.8989,(9, 1)
0.9343,(12, 2)
0.9366,(0, 3)
0.9458,(9, 2)
