Pitch,Velocity,Position,Length
76,100,0,240
36,100,0,960
73,100,240,240
72,100,480,240
70,100,720,240
79,100,960,240
36,100,960,960
73,100,1200,240
72,100,1440,240
70,100,1680,240
64,100,1920,240
36,100,1920,960
73,100,2160,240
72,100,2400,240
70,100,2640,240
79,100,2880,240
73,100,3120,240
72,100,3360,240
70,100,3600,240
69,100,3840,240
41,100,3840,960
78,100,4080,240
77,100,4320,240
75,100,4560,240
84,100,4800,240
41,100,4800,960
78,100,5040,240
77,100,5280,240
75,100,5520,240
69,100,5760,240
41,100,5760,960
78,100,6000,240
77,100,6240,240
75,100,6480,240
84,100,6720,240
78,100,6960,240
77,100,7200,240
75,100,7440,240
74,100,7680,240
34,100,7680,960
71,100,7920,240
70,100,8160,240
68,100,8400,240
77,100,8640,240
34,100,8640,960
71,100,8880,240
70,100,9120,240
68,100,9360,240
62,100,9600,240
34,100,9600,960
71,100,9840,240
70,100,10080,240
68,100,10320,240
77,100,10560,240
71,100,10800,240
70,100,11040,240
68,100,11280,240
67,100,11520,240
39,100,11520,960
76,100,11760,240
75,100,12000,240
73,100,12240,240
82,100,12480,240
39,100,12480,960
76,100,12720,240
75,100,12960,240
73,100,13200,240
67,100,13440,240
39,100,13440,960
76,100,13680,240
75,100,13920,240
73,100,14160,240
82,100,14400,240
76,100,14640,240
75,100,14880,240
73,100,15120,240
