Pitch,Velocity,Position,Length
80,100,0,240
53,100,0,960
79,100,240,240
80,100,480,240
84,100,720,240
76,100,960,240
46,100,960,960
74,100,1200,240
76,100,1440,240
84,100,1680,240
77,100,1920,240
44,100,1920,960
76,100,2160,240
77,100,2400,240
84,100,2640,240
79,100,2880,240
48,100,2880,960
77,100,3120,240
79,100,3360,240
82,100,3600,240
80,100,3840,240
41,100,3840,960
79,100,4080,240
77,100,4320,240
79,100,4560,240
80,100,4800,240
53,100,4800,960
77,100,5040,240
80,100,5280,240
75,100,5520,240
73,100,5760,240
58,100,5760,480
72,100,6000,240
73,100,6240,240
44,100,6240,480
84,100,6480,240
73,100,6720,240
43,100,6720,480
82,100,6960,240
73,100,7200,240
41,100,7200,480
80,100,7440,240
79,100,7680,240
39,100,7680,960
77,100,7920,240
75,100,8160,240
77,100,8400,240
79,100,8640,240
51,100,8640,960
75,100,8880,240
79,100,9120,240
73,100,9360,240
72,100,9600,240
44,100,9600,480
70,100,9840,240
72,100,10080,240
55,100,10080,480
82,100,10320,240
72,100,10560,240
53,100,10560,480
80,100,10800,240
72,100,11040,240
51,100,11040,480
79,100,11280,240
77,100,11520,240
49,100,11520,480
75,100,11760,240
73,100,12000,240
48,100,12000,480
75,100,12240,240
77,100,12480,240
46,100,12480,480
73,100,12720,240
77,100,12960,240
44,100,12960,480
72,100,13200,240
70,100,13440,240
43,100,13440,480
68,100,13680,240
70,100,13920,240
53,100,13920,480
80,100,14160,240
70,100,14400,240
52,100,14400,480
79,100,14640,240
70,100,14880,240
55,100,14880,480
77,100,15120,240
