Pitch,Velocity,Position,Length
43,100,0,960
67,100,480,240
69,100,720,240
70,100,960,480
74,100,1440,480
78,100,1920,480
79,100,2400,480
41,100,2880,960
79,100,3360,480
39,100,3840,960
67,100,4320,240
69,100,4560,240
70,100,4800,480
74,100,5280,480
78,100,5760,480
79,100,6240,480
38,100,6720,960
79,100,7200,480
36,100,7680,960
67,100,8160,240
69,100,8400,240
70,100,8640,480
74,100,9120,480
78,100,9600,480
79,100,10080,480
34,100,10560,960
79,100,11040,480
36,100,11520,960
77,100,11760,240
75,100,12000,240
74,100,12240,240
72,100,12480,240
70,100,12720,240
69,100,12960,240
67,100,13200,240
66,100,13440,240
38,100,13440,960
67,100,13680,240
69,100,13920,240
63,100,14160,240
62,100,14400,480
72,100,14880,480
