Pitch,Velocity,Position,Length
48,100,0,832
72,100,480,240
74,100,720,240
75,100,960,480
79,100,1440,480
83,100,1920,480
84,100,2400,480
46,100,2880,960
84,100,3360,480
44,100,3840,960
72,100,4320,240
74,100,4560,240
75,100,4800,480
79,100,5280,480
83,100,5760,480
84,100,6240,480
43,100,6720,960
84,100,7200,480
41,100,7680,960
72,100,8160,240
74,100,8400,240
75,100,8640,480
79,100,9120,480
83,100,9600,480
84,100,10080,480
39,100,10560,960
84,100,11040,480
41,100,11520,960
82,100,11760,240
80,100,12000,240
79,100,12240,240
77,100,12480,240
75,100,12720,240
74,100,12960,240
72,100,13200,240
71,100,13440,240
43,100,13440,960
72,100,13680,240
74,100,13920,240
68,100,14160,240
67,100,14400,480
77,100,14880,480
