0.6532,(8, 2)
0.6619,(2, 1)
0.699,(9, 3)
0.7096,(12, 3)
0.7101,(5, 3)
0.719,(5, 2)
0.7219,(10, 1)
0.7257,(2, 0)
0.7345,(11, 1)
0.7365,(1, 2)
0.7469,(10, 3)
0.7479,(0, 3)
0.7527,(1, 1)
0.7607,(3, 1)
0.7639,(3, 0)
0.765,(5, 1)
0.765,(6, 0)
0.7705,(7, 2)
0.7718,(3, 2)
0.7733,(8, 3)
0.7754,(1, 0)
0.7769,(5, 0)
0.7859,(10, 0)
0.7862,(7, 0)
0.7893,(2, 3)
0.7913,(1, 3)
0.7913,(2, 2)
0.7923,(6, 2)
0.7924,(12, 1)
0.796,(11, 3)
0.7965,(6, 1)
0.8025,(4, 3)
0.8074,(6, 3)
0.8113,(11, 2)
0.8172,(10, 2)
0.8203,(12, 2)
0.8229,(7, 1)
0.828,(12, 0)
0.8387,(9, 0)
0.8487,(7, 3)
0.8537,(11, 0)
0.8638,(9, 1)
0.8715,(9, 2)
0.8763,(8, 0)
0.9091,(3, 3)
0.9141,(8, 1)
1.0456,(4, 2)
1.0211,(4, 1)
