1.0,(0, 0)
1.0187,(0, 1)
1.0198,(0, 2)
1.0137,(4, 0)
1.0211,(4, 1)
1.0226,(4, 2)
0.8886,(3, 3)
0.9585,(9, 2)
0.9368,(6, 3)
0.9912,(9, 1)
0.974,(9, 0)
0.9814,(10, 2)
0.9698,(10, 0)
0.9607,(10, 3)
0.9862,(7, 2)
0.9976,(12, 2)
0.8748,(8, 2)
0.9235,(4, 3)
0.9417,(0, 3)
0.8804,(7, 1)
1.0025,(11, 2)
0.9679,(7, 0)
1.0001,(5, 0)
0.9862,(1, 0)
0.9786,(12, 1)
0.9763,(3, 1)
1.0022,(11, 1)
0.93,(11, 3)
0.9798,(2, 3)
0.997,(11, 0)
0.8756,(2, 0)
0.9883,(12, 0)
0.947,(3, 0)
0.9323,(3, 2)
0.9089,(7, 3)
0.8811,(6, 2)
1.0024,(6, 1)
0.9527,(2, 2)
1.0102,(8, 3)
0.9948,(5, 1)
0.9889,(6, 0)
1.0017,(1, 1)
0.9931,(1, 3)
0.9419,(1, 2)
0.9916,(5, 2)
0.9458,(10, 1)
0.9736,(9, 3)
0.9053,(12, 3)
0.7574,(8, 1)
0.9637,(8, 0)
0.788,(5, 3)
0.9062,(2, 1)
