0.6213,(2, 0)
0.6534,(12, 0)
0.6643,(8, 0)
0.6685,(3, 0)
0.672,(2, 1)
0.7023,(8, 1)
0.7222,(3, 2)
0.7358,(7, 3)
0.7362,(11, 0)
0.739,(3, 1)
0.7457,(0, 3)
0.7476,(11, 1)
0.7604,(5, 3)
0.7688,(2, 3)
0.7728,(5, 2)
0.7773,(12, 1)
0.7783,(1, 1)
0.7913,(11, 3)
0.7976,(1, 0)
0.799,(6, 0)
0.7992,(1, 2)
0.8021,(4, 3)
0.813,(5, 1)
0.816,(2, 2)
0.8283,(5, 0)
0.8298,(1, 3)
0.8307,(12, 3)
0.8332,(6, 1)
0.8354,(8, 3)
0.8432,(6, 2)
0.8453,(7, 0)
0.8677,(11, 2)
0.8781,(8, 2)
0.8858,(7, 1)
0.9106,(9, 3)
0.9347,(10, 1)
0.9455,(12, 2)
0.9471,(7, 2)
0.9607,(10, 3)
