0.6386,(8, 2)
0.6468,(2, 1)
0.6871,(9, 3)
0.6947,(5, 3)
0.7014,(12, 3)
0.7034,(5, 2)
0.7094,(10, 1)
0.7099,(2, 0)
0.7179,(11, 1)
0.7194,(1, 2)
0.7323,(0, 3)
0.7338,(10, 3)
0.7339,(1, 1)
0.7426,(3, 1)
0.7478,(5, 1)
0.7497,(6, 0)
0.7506,(3, 0)
0.7549,(8, 3)
0.7558,(1, 0)
0.7567,(7, 2)
0.7597,(5, 0)
0.76,(3, 2)
0.7688,(7, 0)
0.7719,(2, 3)
0.7721,(10, 0)
0.7724,(1, 3)
0.7744,(12, 1)
0.7748,(2, 2)
0.7764,(6, 2)
0.7784,(11, 3)
0.7804,(6, 1)
0.7849,(4, 3)
0.7942,(11, 2)
0.796,(6, 3)
0.8026,(10, 2)
0.8042,(7, 1)
0.8048,(12, 2)
0.8129,(12, 0)
0.8244,(9, 0)
0.8334,(11, 0)
0.8342,(7, 3)
0.849,(9, 1)
0.8589,(9, 2)
0.863,(8, 0)
0.8983,(8, 1)
0.8987,(3, 3)
1.0226,(4, 2)
