Pitch,Velocity,Position,Length
72,100,0,240
32,100,0,960
71,100,240,240
72,100,480,240
76,100,720,240
77,100,960,480
44,100,960,960
80,100,1440,720
38,100,1920,960
72,100,2160,240
71,100,2400,720
53,100,2880,960
72,100,3120,240
74,100,3360,240
75,100,3600,240
77,100,3840,240
47,100,3840,960
68,100,4080,240
67,100,4320,720
50,100,4800,960
69,100,5040,240
71,100,5280,240
72,100,5520,240
74,100,5760,240
43,100,5760,960
64,100,6000,240
65,100,6240,720
47,100,6720,960
68,100,6960,240
67,100,7200,240
65,100,7440,240
63,100,7680,240
48,100,7680,960
67,100,7920,240
72,100,8160,240
71,100,8400,240
72,100,8640,240
43,100,8640,960
67,100,8880,240
68,100,9120,240
66,100,9360,240
67,100,9600,240
47,100,9600,960
71,100,9840,240
74,100,10080,240
72,100,10320,240
74,100,10560,240
43,100,10560,960
67,100,10800,240
68,100,11040,240
66,100,11280,240
67,100,11520,240
48,100,11520,960
72,100,11760,240
75,100,12000,240
74,100,12240,240
75,100,12480,240
43,100,12480,960
67,100,12720,240
68,100,12960,240
66,100,13200,240
67,100,13440,240
47,100,13440,960
74,100,13680,240
77,100,13920,720
43,100,14400,960
80,100,14640,240
79,100,14880,240
77,100,15120,240
