Pitch,Velocity,Position,Length
69,100,0,240
51,100,0,960
48,100,0,960
70,100,240,240
72,100,480,240
69,100,720,240
72,100,960,240
70,100,1200,240
69,100,1440,240
67,100,1680,240
66,100,1920,960
72,100,1920,960
38,100,1920,960
50,100,1920,960
71,100,3840,960
67,100,3840,960
50,100,3840,960
41,100,3840,960
67,100,5040,240
69,100,5280,240
71,100,5520,240
72,100,5760,240
55,100,5760,960
39,100,5760,960
74,100,6000,240
75,100,6240,240
77,100,6480,240
79,100,6720,240
77,100,6960,240
80,100,7200,240
79,100,7440,240
77,100,7680,240
47,100,7680,960
50,100,7680,960
55,100,7680,960
75,100,7920,240
74,100,8160,240
72,100,8400,240
71,100,8640,240
68,100,8880,240
67,100,9120,240
65,100,9360,240
63,100,9600,480
48,100,9600,480
84,100,10080,480
44,100,10080,480
62,100,10560,480
41,100,10560,480
83,100,11040,480
43,100,11040,480
75,100,11520,958
72,100,11520,958
79,100,11520,958
84,100,11520,958
48,100,11520,958
36,100,11520,958
