Pitch,Velocity,Position,Length
70,100,0,240
43,100,0,960
69,100,240,240
67,100,480,480
46,100,960,960
66,100,1200,240
67,100,1440,240
69,100,1680,240
70,100,1920,240
51,100,1920,960
74,100,2160,240
72,100,2400,240
70,100,2640,240
75,100,2880,240
43,100,2880,960
74,100,3120,240
72,100,3360,240
70,100,3600,240
72,100,3840,240
44,100,3840,960
75,100,4080,240
74,100,4320,240
72,100,4560,240
71,100,4800,240
53,100,4800,960
72,100,5040,240
74,100,5280,240
75,100,5520,240
77,100,5760,240
50,100,5760,960
80,100,6000,240
79,100,6240,240
77,100,6480,240
79,100,6720,240
47,100,6720,960
77,100,6960,240
75,100,7200,240
74,100,7440,240
75,100,7680,240
48,100,7680,960
74,100,7920,240
72,100,8160,480
51,100,8640,960
71,100,8880,240
72,100,9120,240
74,100,9360,240
75,100,9600,240
56,100,9600,960
79,100,9840,240
77,100,10080,240
75,100,10320,240
80,100,10560,240
48,100,10560,960
79,100,10800,240
77,100,11040,240
75,100,11280,240
77,100,11520,240
50,100,11520,960
80,100,11760,240
79,100,12000,240
77,100,12240,240
76,100,12480,240
58,100,12480,960
77,100,12720,240
79,100,12960,240
80,100,13200,240
82,100,13440,240
55,100,13440,960
85,100,13680,240
84,100,13920,240
82,100,14160,240
84,100,14400,240
52,100,14400,960
82,100,14640,240
80,100,14880,240
79,100,15120,240
