Pitch,Velocity,Position,Length
36,96,0.0,418
42,116,480.0,213
38,100,960.0,446
42,113,1440.0,225
36,97,1920.0,446
42,111,2400.0,217
38,100,2880.0,450
42,114,3360.0,241
36,99,3840.0,422
42,110,4320.0,233
38,98,4800.0,471
42,109,5280.0,295
36,105,5760.0,438
42,107,6240.0,311
38,107,6720.0,471
42,106,7200.0,270
36,109,7680.0,450
42,110,8160.0,344
38,104,8640.0,422
42,109,9120.0,336
36,107,9600.0,520
42,110,10080.0,331
38,109,10560.0,500
42,107,11040.0,348
36,105,11520.0,541
42,110,12000.0,340
38,107,12480.0,504
42,111,12960.0,402
36,111,13440.0,623
42,110,14160.0,282
38,118,14400.0,274
38,118,15120.0,217
